PRODUCTO ;group;Marca;CATEGORIA;;;
AJO KING C/100 TABS (PLANTAS MEDICINALES DE MEXICO) (4);4;;SUPLEMENTOS;;;
ARTRI AJO KING C/100 TABS (PLANTAS MEDICINALES DE MEXICO) (4);4;;SUPLEMENTOS;;;
ARTRI KING C/100 TABS (PLANTAS MEDICINALES DE MEXICO) (4);4;;SUPLEMENTOS;;;
ACXION 30MG C/30 TABS FENTERMINA (IFA) (5);5;IFA;PERDIDA PESO;;;
ADEROGYL 15 C/1 AMP (SANOFI) (6)                    ;6;SANOFI;VITAMINA;;;
ADEROGYL 15 C/4 AMP (SANOFI) (6)    ;6;SANOFI;VITAMINA;;;
ADEROGYL 15 C/5 AMP (SANOFI) (6)    ;6;SANOFI;VITAMINA;;;
ADEROGYL C INFANTIL 10ML GOTAS  (SANOFI) (6);6;SANOFI;VITAMINA;;;
ADEROGYL C INFANTIL 30ML GOTAS  (SANOFI) (6);6;SANOFI;VITAMINA;;;
ALBOZ  OMEPRAZOL DUOS C/60 + 60 CAPS  (COLLINS) (7);7;COLLINS;ANTI ACIDO;;;
OMEPRAZOL C/120 CAPS  (AVIVIA) (7);7;AVIVIA;ANTI ACIDO;;;
OMEPRAZOL C/120 CAPS  (ULTRA) (7);7;ULTRA;ANTI ACIDO;;;
OZOKEN C/120 CAPS OMEPRAZOL (KENER) (7);7;KENER;ANTI ACIDO;;;
LOSARTAN 50MG C/30 TABS (AMSA) (8);8;AMSA;ANTI HIPERTENSIVO;;;
LOSARTAN 50MG C/30 TABS (SCHOEN) (8);8;SCHOEN;ANTI HIPERTENSIVO;;;
LOSARTAN 50MG C/90 TABS. (SCHOEN) (8);8;SCHOEN;ANTI HIPERTENSIVO;;;
ALERFIN EXHIBIDOR C/200 TABS (LABORATORIOS LOPEZ) (9) X;9;LABS LOPEZ;ANTIGRIPALES;;;
ALIN SOL INY 8MG/2ML DEXAMETASONA (CHINOIN) (10)                 ;10;CHINOIN;CORTICOESTEROIDE;;;
BRULIN 8MG/2ML C/3 AMP DEXAMETASONA (BRULUART) (10);10;BRULUART;CORTICOESTEROIDE;;;
METAX C/3 AMP DEXAMETASONA (SONS) (10);10;SONS;CORTICOESTEROIDE;;;
VERICORT C/3 AMP DEXAMETASONA (MAVER) (10);10;MAVER;CORTICOESTEROIDE;;;
ALIN NASAL 20ML GOTAS DEXAMETASONA, NEOMICINA , FENILEFRINA (CHINOIN) (11);11;CHINOIN;DESCONGESTIVO NASAL;;;
BEXINE NASAL 20ML GOTAS DEXAMETASONA, NEOMICINA , FENILEFRINA (COLLINS) (11);11;COLLINS;DESCONGESTIVO NASAL;;;
ALIN OFTALMICO 5ML DEXAMETASONA, NEOMICINA (CHINOIN) (12);12;CHINOIN;ANTIINFLAMATORIO;;;
GOTADEX OFTALMICO 5ML DEXAMETASONA/ NEOMICINA (COLLINS) (12);12;COLLINS;ANTIINFLAMATORIO;;;
ALIN 0.75MG C/30 TABS DEXAMETASONA (CHINOIN) (13);13;CHINOIN;DESCONGESTIVO NASAL;;;
ALIVIAX 550MG C/10 TABS NAPROXENO SODICO (GENOMMA LAB) (14);14;GENOMALAB;ANTIINFLAMATORIO;;;
ALIVIAX 550MG C/20 TABS NAPROXENO SODICO (GENOMALAB) (14);14;GENOMALAB;ANTIINFLAMATORIO;;;
BIXEN 550MG C/12 TABS NAPROXENO SODICO (BIOMEP);14;BIOMEP;ANALGESICO ;;;
BRIXEN 550MG C/12 TABS NAPROXENO SODICO (BIOMEP);14;BIOMEP;ANALGESICO ;;;
FLANAX 550 C/12 NAPROXENO (BAYER) (14)                           ;14;BAYER;ANTIINFLAMATORIO;;;
FLAXENDOL 550MG C/12 TABS NAPROXENO SODICO (VITAE);14;VITAE;ANALGESICO ;;;
INFLANOX 550MG C/12 TABS NAPROXENO (MAVI);14;MAVI;ANALGESICO ;;;
SONAVIC  550MG C/ 100 TABS NAPROXENO (VICTORY);14;VICTORY;ANALGESICO ;;;
BICARBONATO DE SODIO PURO 100GR (Ayesha)  (15);15;SANA-X;;;;
BICARBONATO DE SODIO PURO 125GR TARRO (SANA-X) (15);15;GENOMALAB;;;;
ALKA-SELTZER C/12 TABS (BAYER) (16)                   ;16;BAYER;ANTI ACIDO;;;
ALOPURINOL 300MG C/20 TABS (APOTEX);17;APOTEX;GOTA;;;
ALOPURINOL 300MG C/20 TABS (NEOLPHARMA) (17);17;NEOLPHARMA;GOTA;;;
ALOPURINOL 300MG C/20 TABS (RANDALL) (17);17;RANDALL;GOTA;;;
DERTRIFORT 300MG C/20 TABS ALOPURINOL (DEGORTS CHEMICAL);17;;GOTA;;;
PURIBEL 300MG C/20 TABS ALOPURINOL (BRULUART) (17);17;BRULUART;GOTA;;;
ZYLOPRIM 300MG C/30 TABS ALOPURINOL(ASPEN) (17)             ;17;ASPEN;GOTA;;;
ZYLOPRIM 300MG C/60 TABS ALOPURINOL (ASPEN)  (17)            ;17;ASPEN;GOTA;;;
AMBROXOL 120 ML (LOEFFLER) (18);18;RANDALL;ANTITUSIGENO;;;
AMBROXOL 120 ML (RANDALL) (18);18;ASPEN;ANTITUSIGENO;;;
CLOXAN 120ML AMBROXOL (BIOMEP) (18);18;BIOMEP;ANTITUSIGENO;;;
MUCOSOLVAN 120ML AMBROXOL (BOEHRINGER INGELHEIM) (18);18;BOEHRINGER INGELHEIM;ANTITUSIGENO;;;
MUCOVIBROL 120ML AMBROXOL (LIOMONT) (18)      ;18;LIOMONT;ANTITUSIGENO;;;
AMBROXOL 30ML PEDIATRICO (PHARMAGEN) (19);19;PHARMAGEN;ANTITUSIGENO;;;
MUCOSOLVAN 30ML PEDIATRICO AMBROXOL (BOEHRINGER INGELHEIM) (19)     ;19;BOEHRINGER INGELHEIM;ANTITUSIGENO;;;
MUCOVIBROL 30ML PEDIATRICO AMBROXOL (LIOMONT) (19)              ;19;LIOMONT;ANTITUSIGENO;;;
AMCEF 1G I.M CEFTRIAXONA (AMSA) (20);20;AMSA;ANTIBIOTICO;;;
CEFTRIAXONA 1G I.M C/ LIDOCAINA (COLLINS) (20);20;COLLINS;ANTIBIOTICO;;;
Ceftriaxona 1g I.M. (Bruluagsa) (20);20;BRULUAGSA;ANTIBIOTICO;;;
TRAXICOLL  I.M  1G C/1 AMP CEFTRIAXONA C/  LIDOCAINA  (COLLINS) (20);20;COLLINS;ANTIBIOTICO;;;
TRIXONA 1.0G INY I.M CEFTRIAXONA (BRULUAGSA) (20);20;BRULUAGSA;ANTIBIOTICO;;;
AMOXIBRON 250MG SUSP AMOXICILINA, BROMHEXINA (GLAXO SMITH KLINE) (21)         ;21;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AMOXIBRON 500MG C/12 CAPS AMOXICILINA, BROMHEXINA (GLAXO SMITH KLINE) (21);21;MAVER;ANTIBIOTICO;;;
BROMIXEN 250MG SUSP AMOXICILINA, BROMHEXINA (MAVER) (21);21;MAVER;ANTIBIOTICO;;;
BROMIXEN 500MG C/12 TABS AMOXICILINA, BROMHEXINA (MAVER) (21);21;MAVER;ANTIBIOTICO;;;
AMOXICILINA 250MG SUSP  (HORMONA) (22);22;HORMONA;ANTIBIOTICO;;;
AMOXICILINA 500MG SUSP  (HORMONA) (22);22;HORMONA;ANTIBIOTICO;;;
AMOXIL 250MG SUSP 75ML AMOXICILINA (GLAXO SMITH KLINE) (22)       ;22;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AMOXIL 500MG SUSP AMOXICILINA (GLAXO SMITH KLINE) (22);22;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AMOXICILINA 500MG C/100 CAPS BIOTICILINA  (HEALTH TEC) (23);23;HEALTH TEC;ANTIBIOTICO;;;
AMOXICILINA 500MG C/12 CAPS (HORMONA) (23);23;HORMONA;ANTIBIOTICO;;;
AMOXICILINA EXHIBIDOR C/100 CAPS (SAIMED) (23);23;SAIMED;ANTIBIOTICO;;;
AMOXIL 500MG C/12 CAPS AMOXICILINA (GLAXO SMITH KLINE) (23)       ;23;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AMPICILINA 250MG SUSP (HORMONA)(24);24;HORMONA;ANTIBIOTICO;;;
AMPICILINA 500 MG C/100 TABS (VICTORY) ;24;VICTORY;ANTIBIOTICO;;;
AMPICILINA 500MG C/100 CAPS  ALCILINA (ARANTIZ) (24);24;ARANTIZ;ANTIBIOTICO;;;
AMPICILINA 500MG C/20 CAPS  (AMSA);24;AMSA;ANTIBIOTICO;;;
AMPICILINA 500MG C/20 CAPS  (HORMONA) (24);24;HORMONA;ANTIBIOTICO;;;
AMPICILINA C/24 CAPS AMPIGRIN (COLLINS);24;COLLINS;ANTIBIOTICO;;;
AMPICILINA EXHIBIDOR 500MG C/100 CAPS  (HORMONA) (24);24;HORMONA;ANTIBIOTICO;;;
AMPICILINA EXHIBIDOR C/100 CAPS (SAIMED) (24);24;SAIMED;ANTBIOTICO;;;
AMPICILINA MEXAPIN 500MG C/20 CAPS (WANDEL)       ;24;WANDELL;ANTIBIOTICO;;;
ARISTOCILIN 500MG C/100 CAPS  (VICTORY) AMPICILINA;24;VICTORY;ANTIBIOTICO;;;
ARISTOCILIN 500MG C/12 CAPS (VICTORY)       AMPICILINA;24;VICTORY;ANTIBIOTICO;;;
ARISTOCILIN 500MG C/24 CAPS AMPICILINA (VICTORY) (24)           ;24;VICTORY;ANTIBIOTICO ;;;
ARISTOCILIN 500MG C/28 CAPS (VICTORY)             AMPICILINA;24;VICTORY;ANTIBIOTICO;;;
ARISTOCILIN 500MG EXH C/120 CAPS AMPICILINA (VICTORY) (24)           ;24;VICTORY;ANTIBIOTICO;;;
Aristocilin 500mg Frasco c/100 Caps Ampicilina (Victory);24;VICTORY;ANTIBIOTICO;;;
PENTREXYL 500MG C/28 CAPS AMPICILINA (ASPEN) (24) ;24;ASPEN;ANTIBIOTICO;;;
AMPIGRIN ADULTO C/3 INY AMPICILINA, METAMIZOL, GUAIFENESINA, LIDOCAINA (COLLINS) (25);25;COLLINS;ANTIBIOTICO/ANTIGRIPAL;;;
AMPIGRIN INFANTIL  60ML AMANTADINA, CLORFENAMINA,PARACETAMOL (COLLINS) (26);26;COLLINS;ANTIBIOTICO/ANTIGRIPAL;;;
ANTIFLU-DES JR 60ML  AMANTADINA,CLORFENAMINA,PARACETAMOL (CHINOIN) (26);26;CHINOIN;ANTIGRIPALES;;;
ROSEL INFANTIL 60ML AMANTADINA,CLORFENAMINA,PARACETAMOL (WERMAR) (26);26;WERMAR;ANTIGRIPALES;;;
AMPIGRIN PFC C/24 TABS AMANTADINA,CLORFENAMINA,PARACETAMOL (COLLINS) (27);27;COLLINS;ANTIBIOTICO/ANTIGRIPAL;;;
AMPIGRIN PFC FRASCO C/24 TABS AMANTADINA,CLORFENAMINA,PARACETAMOL (COLLINS) (27);27;COLLINS;ANTIBIOTICO/ANTIGRIPAL;;;
ANTIFLU-DES C/24 CAPS AMANTADINA,CLORFENAMINA,PARACETAMOL (CHINOIN) (27);27;CHINOIN;ANTIGRIPALES;;;
ROSEL C/24 TABS AMANTADINA,CLORFENAMINA,PARACETAMOL (WERMAR) (27);27;WERMAR;ANTIGRIPALES;;;
AMPIGRIN PFC PEDIATRICO 30ML AMANTADINA,CLORFENAMINA,PARACETAMOL (COLLINS) (28);28;COLLINS;ANTIBIOTICO/ANTIGRIPAL;;;
ANTIFLU-DES PEDIATRICO 30ML  AMANTADINA,CLORFENAMINA,PARACETAMOL (CHINOIN) (28);28;CHINOIN;ANTIGRIPALES;;;
AMZUVAG 0.4MG C/20 TABS TAMSULOSINA (NOVAG) (29);29;NOVAG;HIPERPLASIA PROSTATICA;;;
UPROSOL 0.4MG C/30 CAPS TAMSULOSINA (ASPEN) (29);29;ASPEN;HIPERPLASIA PROSTATICA;;;
ANA-DENT C/100 TABS (LABORATORIOS TERAMED) (30);30;TERAMED;ANALGESICO;;;
TOFEL 50MG C/10 TABS DICLOFENACO/PARACETAMOL (VICTORY) (30);30;VICTORY;ANALGESICO;;;
TOFEL 50MG C/30 TABS DICLOFENACO/PARACETAMOL (VICTORY) (30);30;VICTORY;ANALGESICO;;;
Anglucid 850mg c/30 Caps Metformina (Collins);31;COLLINS;DIABETES MELLITUS;;;
Anglucid 850mg c/50 Caps Metformina (Collins) (31);31;COLLINS;DIABETES MELLITUS;;;
METFORMINA 850MG C/30 TAB ;31;;DIABETES MELLITUS;;;
METFORMINA 850MG C/30 TAB (AMSA);31;AMSA;DIABETES MELLITUS;;;
METFORMINA 850MG C/30 TAB (LOEFFLER) (31);31;LOEFFLER;DIABETES MELLITUS;;;
METFORMINA 850MG C/30 TABS (ALPHARMA) (31);31;ALPHARMA;DIABETES MELLITUS;;;
METFORMINA 850MG C/30 TABS (GLUNOVAG);31;GLUNOVAG;DIABETES MELLITUS;;;
Metformina 850mg c/60 Tabs (SANFER);31;SANFER;DIABETES MELLITUS;;;
MEVICFOR 850MG C/30 TAB METFORMINA (VICTORY);31;VICTORY;DIABETES MELLITUS ;;;
MEVICFOR 850MG C/50 TAB METFORMINA (VICTORY);31;VICTORY;DIABETES MELLITUS ;;;
ARDOSONS C/20 CAPS INDOMETACINA, BETAMETASONA, METOCARBAMOL (SON'S) (32)    ;32;SONS;ANALGESICO;;;
BEVODINIX C/20 CAPS BETAMETASONA, INDOMETACINA, METOCARBAMOL (ASPEN) (32);32;ASPEN;ANALGESICO;;;
RUMOQUIN NF C/30 TABS INDOMETACINA, BETAMETASONA, METOCARBAMOL(SCHOEN) (32);32;SCHOEN;ANALGESICO;;;
VERATRIN C/20 CAPS BETAMETASONA, INDOMETACINA, METOCARBAMOL (MAVER) (32);32;MAVER;ANALGESICO;;;
ARGEMOL 1% CREMA 28G SULFADIAZINA DE PLATA (LOEFFLER) (33);33;LOEFFLER;QUEMADURA ;;;
ARGENTAFIL 1% SUSP  SULFADIAZINA DE PLATA (VALEANT);33;VALEANT;QUEMADURA ;;;
ARGENTAFIL 30G  SULFADIAZINA DE PLATA (VALEANT);33;VALEANT;QUEMADURA ;;;
ARGENTAL 1% CREMA 28G SULFADIAZINA DE PLATA (LIFERPAL) (33);33;LIFERPAL;QUEMADURA ;;;
ARIFLAM 100MG C/20 TABS DICLOFENACO (ULTRA) (34);34;ULTRA;ANTIINFLAMATORIO;;;
VOLFENAC RETARD 100MG C/20 TABS DICLOFENACO (COLLINS) (34)      ;34;COLLINS;ANTIINFLAMATORIO;;;
VOLTAREN RETARD 100MG C/30 TABS DICLOFENACO (NOVARTIS) (34)      ;34;NOVARTIS;ANTIINFLAMATORIO;;;
ARTRIBION C/80 CAPSULAS DICLOFENACO, TIAMINA, PIRIDOXINA, CIANOCOBALAMINA (BIOKEMICAL) (35);35;BIOKEMICAL;ANTIINFLAMATORIO;;;
FORTICAL FORTE C/30 GRAGEAS DICLOFENACO, TIAMINA, PIRIDOXINA, CIANOCOBALAMINA (SERRAL) (35);35;SERRAL;ANTIINFLAMATORIO;;;
TRIBEDOCE F COMPUESTO C/30 GRAGEAS DICLOFENACO, TIAMINA, PIRIDOXINA, CIANOCOBALAMINA (BRULUART) (35)      ;35;BRULUART;ANTIINFLAMATORIO;;;
ASPIRINA 500MG C/100 TABS  (BAYER) (36);36;BAYER;ANALGESICO;;;
ASPIRINA PROTECT 100MG C/28 TABS (BAYER) (36);36;BAYER;ANALGESICO;;;
ALINA  20MG C/100 TABS ATORVASTATINA (;37;;COLESTEROL;;;
ATORLIP 20MG C/10 TABS ATORVASTATINA (MAVI) (37);37;MAVI;COLESTEROL;;;
ATORLIP 40MG C/10 TABS ATORVASTATINA (MAVI) 37);37;MAVI;COLESTEROL;;;
ATORVASTATINA 20MG C/1 (AMSA);37;AMSA;COLESTEROL;;;
ATORVASTATINA 20MG C/10 TABS (ULTRA);37;ULTRA;COLESTEROL;;;
ATORVASTATINA 20MG C/30 TABS (amsa);37;AMSA;COLESTEROL;;;
ATORVASTATINA 40MG C/10 TABS (AMSA) ;37;AMSA;COLESTEROL;;;
BACAT 20MG C/30 TABS ATORVASTATINA (LANDSTEINER) ;37;LANDSTEINER;COLESTEROL;;;
BLODIVT 20MG C/30 TABS ATORVASTATINA (SANDOZ);37;SANDOZ;COLESTEROL;;;
COLLIPROL 40MG C/15 TABS ATORVASTATINA (COLLINS) ;37;COLLINS;COLESTEROL;;;
AMOBAY 500MG C/15 CAPS  AMOXICILINA ACIDO CLAVULANICO (BAYER);38;BAYER;ANTIBIOTICO;;;
AMOBAY CL 12HORAS C/14 TABS (BAYER) AMOXICILINA  AC CLAVULANICO ;38;BAYER;ANTIBIOTICO;;;
AMOBAY SUSP (BAYER) AMOXICILINA AC CLAV;38;BAYER;ANTIBIOTICO;;;
AMOXICILINA CLAVULANICO 875MG /125MG C/10 TABS (HORMONA);38;HORMONA;ANTIBIOTICO;;;
AUGMENTIN 12H JR 400MG /57MG AMOXICILINA, ACIDO CLAVULANICO (GLAXO SMITH KLINE) (38);38;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AUGMENTIN 12H PEDIATRICO 200MG /28.5MG AMOXICILINA, ACIDO CLAVULANICO (GLAXO SMITH KLINE) (38);38;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AUGMENTIN 12H TABS 875MG /125MG  AMOXICILINA, ACIDO CLAVULANICO (GLAXO SMITH KLINE) (38);38;GLAXO SMITH KLINE;ANTIBIOTICO;;;
AUGMENTIN 600MG /42.9MG AMOXICILINA, ACIDO CLAVULANICO (GLAXO SMITH KLINE) (38);38;GLAXO SMITH KLINE;ANTIBIOTICO;;;
CLAMOXIN 12 H JUNIOR 400MG AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 12 H PEDIATRICO 200MG AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 12 HRS 875MG C/10 TABS AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 12 HRS 875MG C/14 TABS AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 125MG AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 250MG AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 500MG-125MG C/10 TABS AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN 500MG-125MG C/12 TABS AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAMOXIN S 600MG-42.9MG/5ML SUSP AMOXICILINA, ACIDO CLAVULANICO (MAVER) (38);38;MAVER;ANTIBIOTICO;;;
CLAVIPEN 12HRS 875MG C/10 TABS AMOXICILINA, ACIDO CLAVULANICO (BRULUAGSA);38;BRULUAGSA;ANTIBIOTICO;;;
Clavulin 12H c/10 Tabs 875mg/125mg Amoxicilina / Acido Clavulanico (Sanfer);38;SANFER;ANTIBIOTICO;;;
GIMACLAV 12H C/10 TABS 875MG AMOXICILINA, ACIDO CLAVULANICO (COLLINS);38;COLLINS;ANTIBIOTICO;;;
GIMACLAV C/10 TABS 500MG AMOXICILINA, ACIDO CLAVULANICO (COLLINS);38;COLLINS;ANTIBIOTICO;;;
VALCLAN 12H C/10 TABS 875MG AMOXICILINA, ACIDO CLAVULANICO (COLLINS);38;COLLINS;ANTIBIOTICO;;;
FLEXIVER 15MG C/10 TABS MELOXICAM (MAVER) (39);39;MAVER;ANTIINFLAMATORIO;;;
FLEXIVER COMPUESTO C/10 CAPS MELOXICAM/METOCARBAMOL (MAVER) (39);39;MAVER;ANTINFLAMATORIO;;;
AVAPENA 25MG C/20 TABS CLOROPIRAMINA (SANDOZ) (40);40;SANDOZ;ANTIHISTAMINICO;;;
CLOROPIRAMINA 25MG C/20 TABS (SCHOEN) (40);40;SCHOEN;ANTIHISTAMINICO;;;
BIRTRIX C/20 TABS. 25 MG. (CODIFARMA);40;CODIFARMA;ANTIHISTAMINICO;;;
CLOROPIRAMINA (Schoen) c/20 TABS. 25 MG.;40;SCHOEN;ANTIHISTAMINICO;;;
AZIBIOT 500MG  C/3 TABS AZITROMICINA  (MAVI) (41);41;MAVI;ANTIBIOTICO;;;
AZITROMICINA 500MG C/3 TABS (ALPHARMA) (41);41;ALPHARMA;ANTIBIOTICO;;;
AZITROMICINA 600MG SUSP (PHARMAGEN) (41);41;PHARMAGEN;ANTIBIOTICO;;;
MACROZIT 500MG C/4 TABS AZITROMICINA (LIOMONT) (41);41;LIOMONT;ANTIBIOTICO;;;
MACROZIT 600MG SUSP AZITROMICINA (LIOMONT) (41);41;LIOMONT;ANTIBIOTICO;;;
AZOGEN C/20 TABS ACIDO NALIDIXICO, FENAZOPIRIDINA (DEGORT'S CHEMICAL) (42);42;DEGORTS CHEMICAL;INFECCION ORINA;;;
AZURON C/20 TABS ACIDO NALIDIXICO, FENAZOPIRIDINA (LIFERPAL) (42);42;LIFERPAL;INFECCION ORINA;;;
PIRIFUR C/24 COMP ACIDO NALIDIXICO, FENAZOPIRIDINA (SANOFI) (42);42;SANOFI;INFECCION ORINA;;;
BACTIVER 100ML SULFAMETOXAZOL/ TRIMETROPRIMA ( MAVER) (43);43;MAVER;ANTIBIOTICO;;;
BACTIVER C/20 TABS 400MG SULFAMETOXAZOL/ TRIMETROPRIMA (MAVER) (43)                ;43;MAVER;ANTIBIOTICO;;;
BACTIVER F C/14 TABS 800MG SULFAMETOXAZOL/ TRIMETROPRIMA (MAVER) (43);43;MAVER;ANTIBIOTICO;;;
BACTRIM 120ML JBE SULFAMETOXAZOL/ TRIMETROPRIMA (ROCHE) (43);43;ROCHE;ANTIBIOTICO;;;
BACTRIM 400MG C/30 TABS SULFAMETOXAZOL/ TRIMETROPRIMA  (ROCHE) (43);43;ROCHE;ANTIBIOTICO;;;
BACTRIM COMPOSITUM JBE 120ML (ROCHE) (43)              ;43;ROCHE;ANTIBIOTICO;;;
BACTRIM F C/15 TABS  800MG SULFAMETOXAZOL/ TRIMETROPRIMA(WESER PHARMA) (43)        ;43;WESER PHARMA;ANTIBIOTICO;;;
BARMICIL 40G BETAMETASONA, GENTAMICINA, CLOTRIMAZOL (SON'S) (44);44;SONS;ANTIBIOTICO;;;
GELMICIN 40G BETAMETASONA, GENTAMICINA, CLOTRIMAZOL (COLLINS) (44)                             ;44;COLLINS;ANTIBIOTICO TOPICO;;;
QUADRIDERM NF 30G BETAMETASONA, GENTAMICINA, CLOTRIMAZOL (SANFER) (44)   ;44;SANFER;ANTIBIOTICO TOPICO;;;
BAYCUTEN 30G CLOTRIMAZOL, DEXAMETASONA (BAYER) (45)                      ;45;BAYER;ANTIBIOTICO TOPICO;;;
BACAOMAX 340ML ACEITE HIGADO DE BACALAO (PROSA) (46);46;PROSA;SUPLEMENTO;;;
BACAOVIT 340ML ACEITE HIGADO DE BACALAO (BQM) (46);46;BQM;SUPLEMENTO;;;
EMULSION SCOTT CEREZA 200ML ACEITE HIGADO DE BACALAO (GSK) (46);46;GSK;SUPLEMENTO;;;
EMULSION SCOTT CEREZA 369ML ACEITE HIGADO DE BACALAO (GSK) (46);46;GSK;SUPLEMENTO;;;
EMULSION SCOTT NARANJA 200ML ACEITE HIGADO DE BACALAO (GSK) (46)          ;46;GSK;SUPLEMENTO;;;
EMULSION SCOTT ORIGINAL 200ML ACEITE HIGADO DE BACALAO (GSK) (46)          ;46;GSK;SUPLEMENTO;;;
BEDOYECTA CAPSULAS C/30 VITAMINAS Y MINERALES (GROSSMAN) (47)               ;47;GROSSMAN;VITAMINA;;;
BEDOYECTA PEDIATRICA C/30 TABS VITAMINAS Y MINERALES (GROSSMAN) (47);47;GROSSMAN;VITAMINA;;;
BEDOYECTA TRI C/5 AMP (GROSSMAN) (47);47;GROSSMAN;VITAMINA;;;
BENCILPENICILINA 1,200,000 U (AMSA) (48);48;AMSA;ANTIBIOTICO;;;
BENCILPENICILINA 1,200,000 U COMBINADO (AMSA) (48);48;SANDOZ;ANTIBIOTICO;;;
BENZETACIL 1,200,000 U INY BENCILPENICILINA (SANDOZ) (48);48;SANDOZ;ANTIBIOTICO;;;
BENZETACIL COMBINADO 1,200,000 U BENCILPENICILINA (SANDOZ) (48)        ;48;SANDOZ;ANTIBIOTICO;;;
PENDIBEN COMP 1.200,000 U BENCILPENICILINA (PISA);48;PISA;ANTIBIOTICO;;;
BEPANTHEN 100G DEXPANTENOL (BAYER) (49);49;BAYER;HIDRATAR PIEL ;;;
BEPANTHEN 30G DEXPANTENOL (BAYER) (49);49;BAYER;HIDRATAR PIEL ;;;
PAMEDAN 30G DEXPANTENOL (MAVER) (49);49;MAVER;HIDRATAR PIEL ;;;
BINODIAN DEPOT INY 200MG PRASTERONA, ESTRADIOL (BAYER) (50);50;BAYER;HORMONA;;;
